20170101,41
20170102,41
20170103,41
20170104,41
20170105,41
20170106,41
20170107,41
20170108,41
20170109,41
20170110,41
20170111,41
20170112,41
20170113,41
20170114,41
20170115,41
20170116,41
20170117,41
20170118,41
20170119,41
20170120,41
20170121,41
20170122,41
20170123,41
20170124,41
20170125,41
20170126,41
20170127,41
20170128,41
20170129,41
20170130,41
20170131,41
20170201,41
20170202,41
20170203,41
20170204,41
20170205,41
20170206,41
20170207,41
20170208,41
20170209,41
20170210,41
20170211,41
20170212,41
20170213,41
20170214,41
20170215,41
20170216,41
20170217,41
20170218,41
20170219,41
20170220,41
20170221,41
20170222,41
20170223,41
20170224,41
20170225,41
20170226,41
20170227,41
20170228,41
20170301,41
20170302,41
20170303,41
20170304,41
20170305,41
20170306,41
20170307,41
20170308,41
20170309,41
20170310,41
20170311,41
20170312,41
20170313,41
20170314,41
20170315,41
20170316,41
20170317,41
20170318,41
20170319,41
20170320,41
20170321,41
20170322,41
20170323,41
20170324,41
20170325,41
20170326,41
20170327,41
20170328,41
20170329,41
20170330,41
20170331,41
20170401,41
20170402,41
20170403,41
20170404,41
20170405,41
20170406,41
20170407,41
20170408,41
20170409,41
20170410,41
20170411,41
20170412,41
20170413,41
20170414,41
20170415,41
20170416,41
20170417,41
20170418,41
20170419,41
20170420,41
20170421,41
20170422,41
20170423,41
20170424,41
20170425,41
20170426,41
20170427,41
20170428,41
20170429,41
20170430,41
20170501,41
20170502,41
20170503,41
20170504,41
20170505,41
20170506,41
20170507,41
20170508,41
20170509,41
20170510,41
20170511,41
20170512,41
20170513,41
20170514,41
20170515,41
20170516,41
20170517,41
20170518,41
20170519,41
20170520,41
20170521,41
20170522,41
20170523,41
20170524,41
20170525,41
20170526,41
20170527,41
20170528,41
20170529,41
20170530,41
20170531,41
20170601,41
20170602,41
20170603,41
20170604,41
20170605,41
20170606,41
20170607,41
20170608,41
20170609,41
20170610,41
20170611,41
20170612,41
20170613,41
20170614,41
20170615,41
20170616,41
20170617,41
20170618,41
20170619,41
20170620,41
20170621,41
20170622,41
20170623,41
20170624,41
